ball_init_position_x,ball_init_position_y,ball_init_position_z,estimated_init_vel_x,estimated_init_vel_y,estimated_init_vel_z,intercept_y,intercept_z,table_hit_point_x,table_hit_point_y,table_hit_point_z,paddle_hitting_vel_joint3,paddle_hitting_vel_joint4,paddle_hitting_vel_joint5
4.0,0.0,1.46,-8.205716402364267,0.002044332361812475,-1.3792551884455229,0.0010463676172306545,1.2876409414970278,0.9392374028293861,-0.5021426176455105,0.8035340139093299,-7.332504503460612,6.998170381717188,-19.27383280632967
4.0,0.0,1.46,-6.414627996720839,-0.2372569587651247,-2.496571800365075,-0.15534481926667057,1.3438816745975943,0.5943186422647018,-0.5248948724256406,0.5288790121550743,12.245646840794322,8.91927440774678,9.104797395765502
4.0,0.0,1.46,-9.433143016510215,0.14911053259117238,-0.7685696362432637,0.06638977441419203,1.1254655529929027,1.4894091664293652,-0.6499699312369578,0.7992030928301556,2.256616579758301,6.259046857271662,-10.541195008598336
4.0,0.0,1.46,-5.392127189764793,-0.0919970995443797,-3.35692660236095,-0.07165777150431965,1.1744992437882324,0.5763872741858025,-0.06397335831791325,-0.0028610209898672564,17.42945153495007,8.201448780262027,-13.660805070248871
4.0,0.0,1.46,-9.075891132793963,-0.20043249305979602,-0.937768725829855,-0.09275303752921887,1.2053235434554768,1.2220139580600529,-0.752216855393267,0.8002722549904361,-3.902395980565938,12.62681511165377,-8.241126747131272
4.0,0.0,1.46,-6.9098258173629645,0.0012422540200258058,-2.1495757404086113,0.0007550793640843982,1.347568706836399,0.588914918512739,-0.38024749623648135,0.650395419744388,5.203816204112776,5.844505604073491,-11.779568269858697
4.0,0.0,1.46,-6.9098258173629645,0.0012422540200258058,-2.1495757404086113,0.0007550793640843982,1.347568706836399,0.6722190897060634,0.6656074927136082,0.7967797810668511,5.203816204112776,5.844505604073491,-11.779568269858697
4.0,0.0,1.46,-7.372087373225895,-0.471802526143584,-1.8551392310321724,-0.2687936956634241,1.3342664542388631,1.1484785640797275,-0.7556787383907476,0.799111817872364,10.757828553595719,14.327109504276107,16.354318470934814
4.0,0.0,1.46,-7.0930113995832755,-0.1342758506272951,-2.0298429135825025,-0.07950904642106917,1.3435342650917426,0.6686937802727049,-0.5066906017717606,0.794540515848366,5.305749430017489,13.773336368262825,0.2901328242688521
4.0,0.0,1.46,-7.0930113995832755,-0.1342758506272951,-2.0298429135825025,-0.07950904642106917,1.3435342650917426,0.6832568134921557,-0.5142178910443425,0.8068630236413844,5.305749430017489,13.773336368262825,0.2901328242688521
4.0,0.0,1.46,-7.035262258271757,-0.40470673352391473,-2.067121417034059,-0.24160695342976418,1.3442695325415641,0.9593501017182356,-0.6624968119816113,0.7998966882252302,15.997743720994258,13.65685996904537,12.18030585819151
4.0,0.0,1.46,-7.399857463425654,0.18861558710531517,-1.8382423689595662,0.10705415202357063,1.3342227505043038,0.6853887066156148,-0.2634622496878908,0.7954485185011522,15.05007047124306,13.87005269776989,4.713601738887768
4.0,0.0,1.46,-6.853772300481857,-0.4101288544102382,-2.1870673933035434,-0.2513274607039246,1.347288620138141,0.595156254657581,-0.7124913300034492,0.6794677450406897,-5.470534601801212,6.094580016834066,1.1552236953651693
4.0,0.0,1.46,-5.143038141912761,-0.08852216282421088,-3.606351595991324,-0.07229055542711008,1.105375136606883,1.4895338860687146,-0.14588207539902742,0.7995604087011146,-12.650837440078648,14.375178032417733,17.33365225796441
